local_datetime,timeSeriesId,businessType,controlArea,settlementDate,settlementPeriod,imbalanceQuantityMAW,curveType,resolution,documentType,processType,activeFlag,docStatus,documentID,documentRevNum,imbalanceQuantityDirection,local_time,Year,Month,weekday,Hour,Minute,typ_of_day,Lag_1,hour_sin,hour_cos
2020-01-01 00:00:00+00:00,ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,1,54.34,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22437929,1,SURPLUS,00:00:00,2020,1,2,0,0,Weekday,,0.0,1.0
2020-01-01 00:30:00+00:00,ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,2,194.71,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22438071,1,SURPLUS,00:30:00,2020,1,2,0,30,Weekday,54.34,0.0,1.0
2020-01-01 01:00:00+00:00,ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,3,-71.43,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22438190,1,DEFICIT,01:00:00,2020,1,2,1,0,Weekday,194.71,0.2697967711570243,0.9629172873477994
2020-01-01 01:30:00+00:00,ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,4,-122.23,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22438319,1,DEFICIT,01:30:00,2020,1,2,1,30,Weekday,-71.43,0.2697967711570243,0.9629172873477994
2020-01-01 02:00:00+00:00,ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,5,-90.9,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22438445,1,DEFICIT,02:00:00,2020,1,2,2,0,Weekday,-122.23,0.5195839500354336,0.8544194045464886
2020-01-01 02:30:00+00:00,ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,6,-140.42,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22438578,1,DEFICIT,02:30:00,2020,1,2,2,30,Weekday,-90.9,0.5195839500354336,0.8544194045464886
2020-01-01 03:00:00+00:00,ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,7,155.87,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22438699,1,SURPLUS,03:00:00,2020,1,2,3,0,Weekday,-140.42,0.730835964278124,0.6825531432186541
2020-01-01 03:30:00+00:00,ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,8,34.41,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22438823,1,SURPLUS,03:30:00,2020,1,2,3,30,Weekday,155.87,0.730835964278124,0.6825531432186541
2020-01-01 04:00:00+00:00,ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,9,-45.81,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22438976,1,DEFICIT,04:00:00,2020,1,2,4,0,Weekday,34.41,0.8878852184023752,0.4600650377311522
2020-01-01 04:30:00+00:00,ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,10,-102.33,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22439112,1,DEFICIT,04:30:00,2020,1,2,4,30,Weekday,-45.81,0.8878852184023752,0.4600650377311522
